t,IR2in_Obs,Uptake1_Obs,InsulinFragments_Obs,BoundUnspec_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.109390948644832,0,0,0.0979937423793546,720.593399427462,512.408238717108,568.403413465111
6,NaN,NaN,NaN,41.5180986217974,NaN,NaN,NaN
8,7.14042409578003,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,499.493506297194,NaN,NaN
9.5,NaN,0.666659513961434,NaN,NaN,NaN,NaN,590.717231376572
10,NaN,NaN,0.427282058320983,NaN,NaN,681.216018490437,NaN
15,10.5961136348036,NaN,NaN,48.0021006550668,564.174158592828,NaN,NaN
20,NaN,0.935243453600956,1.23128754946862,41.876759908962,NaN,568.938215310925,445.797815950372
25,15.1349698595318,NaN,NaN,36.2718849094001,541.797848586283,NaN,NaN
30,NaN,1.40645961976021,1.73234459323429,NaN,NaN,607.058190225933,526.629331069575
35,17.7863629036891,NaN,NaN,45.5528990496275,689.616140943522,NaN,NaN
40,NaN,1.53729955508207,3.69603359500202,34.5677423628942,NaN,611.174043327835,642.96601218663
45,19.67573628451,NaN,NaN,NaN,483.039679563851,NaN,NaN
50,NaN,NaN,NaN,41.4171756362166,NaN,NaN,NaN
55,17.6666753381793,1.17198773786687,7.193259572374,NaN,NaN,565.029647096369,813.911436751865
60,NaN,NaN,NaN,34.5378082924582,732.754155210947,NaN,NaN
65,NaN,1.25481144098806,NaN,NaN,NaN,NaN,563.046153367976
70,22.8338595215254,NaN,9.25036596025503,NaN,577.269758398549,538.681585838627,NaN
75,NaN,NaN,NaN,44.4936408709871,NaN,NaN,NaN
85,26.5345488343175,1.41895095272565,8.84298873728413,NaN,596.846825203836,446.806853563616,596.344008753044
90,NaN,NaN,NaN,33.7635835893172,NaN,NaN,NaN
100,23.1207110581592,1.74505963720536,13.7272657089194,36.9160033860651,560.542107470268,728.246110817949,745.008138684673
150,19.9961818880112,2.02226696589483,21.9429254492754,26.6928394672896,506.607911449874,718.009271514922,671.736364976142
200,22.7834864199032,1.9889081135408,27.3504852946255,NaN,469.3381175451,583.103151958885,554.138599513367
