t,IR2in_Obs,Uptake1_Obs,InsulinFragments_Obs,BoundUnspec_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,1.27986234274321,0,0,13.1163769065904,11538.7394726767,11243.4739522273,11832.5675724099
6,NaN,NaN,NaN,5105.07413471141,NaN,NaN,NaN
6.5,253.947170017624,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,20.9350687825223,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,8.54823461761403,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,4612.59960487634,10624.707297529,13700.6284149371,11051.8322044778
15,328.119566564526,21.5914465370091,NaN,NaN,NaN,NaN,NaN
20,448.935258787098,NaN,34.1753118502429,6153.02557568842,12161.1192894794,10114.946096435,NaN
25,NaN,31.7697034307946,61.7101044175427,5248.15828100979,NaN,NaN,9916.94279824023
30,402.123096152975,NaN,NaN,NaN,9930.6064177028,12374.5220457091,NaN
35,359.317767437436,37.0024498192728,75.4087818301787,4735.46433495669,NaN,NaN,10934.900186334
40,NaN,NaN,NaN,5381.91362231046,9510.59075222085,NaN,NaN
45,460.927033857838,24.2429459742334,118.63019286206,NaN,NaN,10440.4296470908,NaN
50,NaN,NaN,NaN,4202.02329555568,NaN,NaN,10248.8186723996
55,393.160117166505,NaN,NaN,NaN,11847.9035080119,11194.0826174894,NaN
60,NaN,47.9560728197961,139.795452398937,5833.31679083829,NaN,NaN,NaN
65,420.075245175986,NaN,NaN,NaN,NaN,NaN,8671.53281934623
70,NaN,41.4154172983451,167.611649996204,4163.52461914096,8213.48018261227,11840.8362867666,NaN
80,379.971711622598,NaN,NaN,3943.97825192946,NaN,NaN,14495.1486910072
85,NaN,NaN,NaN,NaN,9085.68982885552,12480.5209062573,NaN
90,NaN,40.8432232211859,283.117114068496,NaN,NaN,NaN,NaN
95,401.171012668324,NaN,NaN,5883.66968838157,NaN,NaN,NaN
100,397.612405921599,42.0412251216866,292.89988036716,5117.38650945497,8684.84979779844,9261.22561860035,9829.37119938008
150,433.044259657881,56.2616676741094,421.106280677628,5077.20750649152,9440.45984354013,10371.3731767303,9236.83500340861
200,NaN,69.1432258890769,443.542146733438,6531.06220577177,9953.01094434208,11286.1791133865,10980.1889164908
