t,pSTAT_Obs,nSTAT2_Obs,Compound_1_Obs
0,0.000567854677427169,-0.00604524398649344,0.114675776807763
4,NaN,0.0215724932533604,NaN
4.5,NaN,NaN,0.0978857964102651
7.5,0.00694080676966016,NaN,NaN
8,NaN,0.272661005513971,NaN
9.5,NaN,NaN,0.6959356009229
15,0.00800176306618785,0.250943928974198,0.595181007004134
20,NaN,0.254185274577036,0.371754450208258
25,0.00777611725827,NaN,0.456690310918073
30,0.00771640648288023,0.24288874313325,NaN
35,NaN,0.162613094853695,0.305609883841726
40,0.00380210449015568,0.12861513035225,0.26204668466884
50,0.00122520706322869,0.0415608684284496,-0.0291534730948407
60,NaN,0.0112102089056795,0.0351883472514212
65,0.000653645115915345,NaN,NaN
75,NaN,-0.0186079931147656,-0.0873617814008337
80,6.3542581543272e-05,NaN,NaN
95,0.000897617277446247,NaN,NaN
100,0.0013831845642412,NaN,NaN
