t,pAkt_Obs,S6_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.000224564983444632,179.667119823535,32697060.7782531,88058.4609532261,-6071.48893034084,10794.8789421091
50,NaN,189.635371499579,NaN,NaN,NaN,NaN
100,NaN,144.139081700905,26819770.7523554,NaN,NaN,NaN
150,NaN,188.845837571418,NaN,1904793.54612755,NaN,1062601.17188306
200,NaN,181.335967614849,NaN,NaN,1839674.06171405,NaN
250,NaN,158.209170628418,16945456.6771322,NaN,NaN,NaN
300,NaN,NaN,NaN,1379000.20185498,NaN,NaN
350,NaN,194.727116853538,12719182.6658794,NaN,NaN,615217.668698694
400,0.00864092668848828,165.494560973265,NaN,NaN,976367.462617247,NaN
450,NaN,NaN,9729051.47523256,NaN,NaN,NaN
500,NaN,150.330011632691,NaN,775646.761519711,NaN,NaN
550,NaN,NaN,NaN,NaN,681423.67449425,303641.388311625
600,NaN,210.486141464163,2699906.20139942,NaN,NaN,NaN
650,NaN,NaN,NaN,461249.288986173,NaN,NaN
750,NaN,186.821468628686,4357004.86026497,NaN,NaN,285657.438514426
800,0.00359046845242555,NaN,NaN,NaN,289149.5300134,NaN
850,NaN,NaN,NaN,187318.695340444,NaN,NaN
900,NaN,157.296230986668,NaN,NaN,NaN,NaN
950,NaN,NaN,3647266.54979547,NaN,NaN,NaN
1000,NaN,NaN,1937407.36546754,323826.808141499,224465.281127585,116167.172118169
1500,0.000684909675345846,NaN,945226.413505139,30568.417612183,16398.126622531,55862.8562103416
2000,NaN,NaN,-944437.090717003,-189376.562042211,-2999.92164574267,NaN
2500,0.000491567685062978,NaN,NaN,-27863.4740664399,7350.1955302719,NaN
3000,0.000133438385957322,NaN,NaN,105896.006267265,33480.9734328352,NaN
3500,-2.53061702479662e-06,NaN,NaN,NaN,-32224.922947353,NaN
4500,8.31521319888302e-05,NaN,NaN,NaN,NaN,NaN
5500,0.000125911301401953,NaN,NaN,NaN,NaN,NaN
6500,9.69776573255304e-05,NaN,NaN,NaN,NaN,NaN
