t,pAkt_Obs,S6_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,-9.99432607140399e-05,202.111277304062,33668767.8889146,32014.9763000208,615684.772620695,49893.9750988501
50,NaN,167.468005091132,NaN,NaN,NaN,NaN
60,NaN,NaN,26468144.7694338,NaN,4011673.67246755,NaN
75,NaN,NaN,NaN,4442788.59626173,NaN,3324800.41025313
100,NaN,200.762568756655,19661484.3955474,NaN,5037361.29280027,NaN
150,NaN,149.125171193703,NaN,4258031.34233562,NaN,2053498.92443446
200,NaN,163.76283313406,8781394.35615699,NaN,3184448.03111706,NaN
250,NaN,NaN,2391645.7341387,2195116.44779423,2438616.25297361,932011.811320865
300,0.0119888950031085,220.6521041071,NaN,NaN,NaN,833867.087659378
350,NaN,171.076602312672,2588063.68377888,1137867.99888286,1329587.84474716,NaN
400,NaN,NaN,NaN,NaN,NaN,253052.252115032
450,NaN,169.400706130781,-972287.722374192,310914.696825549,357567.940122637,NaN
550,0.0042352922736997,155.843044435435,1720858.60395657,331952.274874221,115231.642311877,222442.30261517
650,NaN,204.801097479479,1161899.70843034,NaN,219623.598497447,236045.297875233
700,NaN,NaN,NaN,360431.995383302,NaN,NaN
800,NaN,144.001418690476,NaN,NaN,263981.911257554,126538.195606109
850,0.00120200388510832,NaN,NaN,62910.1792399411,NaN,NaN
950,NaN,NaN,NaN,NaN,596089.185150249,128522.827832104
1000,0.000595299834589924,NaN,NaN,183540.056218207,33533.4322751004,229609.329341281
1500,-5.33655609162016e-05,NaN,NaN,-40381.2408243693,NaN,145583.548991883
2000,-0.000712689094425906,NaN,NaN,NaN,NaN,NaN
2500,-2.72957402486341e-05,NaN,NaN,NaN,NaN,NaN
3000,0.000376881158545911,NaN,NaN,NaN,NaN,NaN
4000,0.000761667680378635,NaN,NaN,NaN,NaN,NaN
