t,pAkt_Obs,S6_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.000206469864908457,141.114430263436,32784353.4975766,886703.058868057,71449.310736113,-9021.71019829271
30,NaN,NaN,NaN,14477045.9605529,NaN,NaN
35,NaN,NaN,10136328.5644157,NaN,15636607.9538712,NaN
45,NaN,NaN,NaN,NaN,NaN,6751350.90797599
60,NaN,NaN,NaN,12455596.4232418,NaN,NaN
65,NaN,NaN,NaN,NaN,12077279.7072866,NaN
75,NaN,NaN,1843121.05306292,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,1113089.25114237
95,NaN,NaN,NaN,7238083.14752136,NaN,NaN
100,NaN,NaN,425770.183075396,NaN,5610672.4986718,NaN
150,NaN,151.627637466095,139227.898995698,1920923.76447791,1047241.17504958,35215.9673348706
200,NaN,NaN,487960.240852305,1028139.72174613,1163639.25748843,-28162.8530890257
250,0.00809035182152303,200.408537446207,-102064.896297346,1440098.38759962,225087.065653251,122608.072795359
300,NaN,NaN,NaN,282187.122997967,1592298.37061634,-81033.5021740717
350,NaN,NaN,1663404.5884956,NaN,-211741.611925534,NaN
400,NaN,193.37315809711,NaN,-832036.103755361,-445375.155766357,-234449.182583011
450,NaN,NaN,515449.976250064,-379815.052920247,-570157.199351473,-95489.897521224
550,0.000509901657516664,NaN,NaN,-881264.02090057,-280897.308870118,NaN
600,NaN,154.516874881722,NaN,NaN,NaN,-11080.2792625433
650,NaN,NaN,NaN,NaN,-268034.43547575,NaN
700,NaN,NaN,NaN,NaN,NaN,192110.387669381
750,NaN,192.190849522907,NaN,NaN,NaN,NaN
850,0.000141759950468371,NaN,NaN,NaN,NaN,NaN
950,NaN,155.980262742813,NaN,NaN,NaN,NaN
1000,0.000239168306052663,146.395730008649,NaN,NaN,NaN,NaN
1500,-0.000175035913886204,181.283629561019,NaN,NaN,NaN,NaN
2000,-5.55507011403988e-05,217.503698143797,NaN,NaN,NaN,NaN
2500,6.16384060194271e-05,144.174695211866,NaN,NaN,NaN,NaN
3000,-0.000206052752840019,NaN,NaN,NaN,NaN,NaN
