t,pAkt_Obs,S6_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,-0.000245006270394874,162.893207538014,31976897.5911801,-141228.905344952,334370.522963549,695643.096597829
30,NaN,NaN,NaN,NaN,NaN,13303711.2753802
35,NaN,NaN,14959091.3239048,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,12933835.9047905,NaN
45,NaN,NaN,NaN,13313068.5000237,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,6089432.36621898
70,NaN,NaN,5981317.70018476,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,9622473.62526013,NaN
90,NaN,NaN,NaN,9978687.71126967,NaN,2102698.64919828
100,NaN,NaN,1347596.33169371,NaN,NaN,961835.869949033
150,NaN,210.242041879363,-1538657.10359267,3224758.47236737,2514244.5770134,55078.3013565422
200,NaN,NaN,1289204.39457371,1394506.58105455,910112.541519303,-43009.3373769129
250,0.0087432370765161,NaN,-326693.815489162,4672.61763481633,-327244.00825744,-180735.042156283
300,NaN,216.375376992197,-295517.368118605,NaN,296473.981948348,686606.583114439
350,NaN,NaN,NaN,-467214.862682467,874194.540010635,-15681.8287718351
400,NaN,NaN,-777707.482597674,581701.439061428,NaN,NaN
450,NaN,166.79887061039,NaN,NaN,-100594.767342712,176221.040355666
500,0.000613905330420067,NaN,NaN,-419372.851816327,NaN,-12701.4497465295
550,NaN,NaN,NaN,NaN,-364717.948291045,NaN
650,NaN,155.193373497332,NaN,-113057.532349413,158164.317340958,NaN
750,0.00037712517297915,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,-323993.335102036,-116145.945077503,NaN
850,NaN,199.127630827013,NaN,NaN,NaN,NaN
1000,0.000488844003852987,147.275359887287,NaN,NaN,NaN,NaN
1500,5.53680243956643e-05,191.707409304104,NaN,NaN,NaN,NaN
2000,6.37827980582809e-05,156.617313258204,NaN,NaN,NaN,NaN
2500,0.000145194951345088,181.703137385942,NaN,NaN,NaN,NaN
3000,NaN,194.589640180594,NaN,NaN,NaN,NaN
