t,pAkt_Obs,S6_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,9.06477981975846e-05,189.192788749667,35398394.9412881,-26666.5224422292,36513.4771820637,10999.6157253177
80,NaN,169.602059417622,NaN,NaN,NaN,NaN
150,NaN,190.224875798494,NaN,NaN,NaN,NaN
250,NaN,202.935227188907,22752080.502249,NaN,NaN,NaN
300,NaN,NaN,NaN,609585.743856527,607234.715456917,NaN
350,NaN,145.352526213543,NaN,NaN,NaN,300431.561616661
450,0.0049032350557243,160.581333368457,NaN,NaN,NaN,NaN
500,NaN,NaN,12427802.2402484,NaN,NaN,NaN
550,NaN,186.043088806739,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,355378.595861671,NaN,NaN
650,NaN,NaN,NaN,NaN,350060.422081697,NaN
700,NaN,166.802989585298,NaN,NaN,NaN,NaN
750,NaN,NaN,9333178.62382721,NaN,NaN,147913.706621187
900,NaN,188.296143385332,NaN,271505.094049831,NaN,NaN
950,0.00232751168012686,NaN,NaN,NaN,NaN,NaN
1000,NaN,180.501177062691,6593198.68397443,NaN,199610.26326284,106329.594000495
1500,0.00105177954162694,204.675149433751,891681.409819531,111997.27569054,103945.941367416,66133.0345147356
2000,0.000526210857803302,NaN,377734.676330428,36247.6613898807,16062.0625878673,11151.4322615277
2500,8.97467059544411e-05,NaN,-1391388.69501788,NaN,18490.7876229031,NaN
3000,NaN,NaN,-1082421.88172592,-51677.7322322457,NaN,-9808.95783188989
3500,9.0517828288963e-05,NaN,-567468.023489464,NaN,NaN,NaN
4000,7.93222932695979e-05,NaN,NaN,NaN,NaN,NaN
4500,NaN,NaN,465017.331031518,NaN,NaN,NaN
5000,3.50532990085968e-05,NaN,NaN,NaN,NaN,NaN
6000,0.000101781724905801,NaN,NaN,NaN,NaN,NaN
7000,1.14677979589232e-05,NaN,NaN,NaN,NaN,NaN
