t,pAkt_Obs,S6_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.000122276405422809,160.100530356349,31588135.0669535,35672.7530177765,426982.29433445,78324.5502391432
30,NaN,NaN,NaN,5881089.5340191,NaN,NaN
40,NaN,NaN,NaN,NaN,7867226.94912558,7166295.25524544
45,NaN,NaN,20417804.9028277,NaN,NaN,NaN
55,NaN,NaN,NaN,8269656.52387685,NaN,NaN
75,NaN,NaN,NaN,NaN,8748031.3024517,5028825.75275841
85,NaN,NaN,NaN,8084440.11316893,NaN,NaN
95,NaN,NaN,9668808.99439859,NaN,NaN,NaN
100,NaN,163.261391963268,NaN,7987062.9841923,8051849.86045409,3584412.10971625
150,NaN,NaN,2682569.86937118,5230671.0373175,4800311.06187744,1417031.78939101
200,NaN,NaN,975474.599089116,2078713.77280024,1833376.01433281,830675.000969657
250,0.0116549864123097,181.564507772894,323578.124812382,858461.499161645,1213305.93295416,619733.08458415
300,NaN,NaN,NaN,1133841.88580663,853150.070200402,-20329.5743035777
350,NaN,NaN,5820.21090018431,1695389.1828124,NaN,NaN
400,NaN,192.359559959819,NaN,-799957.111518832,616198.254783448,-40138.4370779082
450,NaN,NaN,849558.099917569,461678.241809813,-695350.755371752,NaN
500,0.00171603188236877,NaN,NaN,NaN,NaN,-357234.197742086
550,NaN,189.16587895981,NaN,-101329.067586206,288668.178727713,NaN
600,NaN,NaN,NaN,NaN,NaN,-52997.1333126145
700,NaN,167.122354567414,NaN,NaN,-125417.175277679,-136042.472481108
750,0.0005026245776685,NaN,NaN,NaN,NaN,NaN
850,NaN,137.714955830718,NaN,NaN,NaN,NaN
1000,0.000193816291107504,165.806272622301,NaN,NaN,NaN,NaN
1500,-6.64974414597342e-05,176.941352998058,NaN,NaN,NaN,NaN
2000,0.00015631364571846,181.620512589046,NaN,NaN,NaN,NaN
2500,0.00034322466871809,148.88738751242,NaN,NaN,NaN,NaN
3000,7.28129887159748e-05,NaN,NaN,NaN,NaN,NaN
