t,epo_level,EpoRpJAK2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
4,2.5e-09,3.5467759003,0.000524631263125204,0.000108930403108842
4,2.5e-09,3.00516702334812,0.000528640086487316,0.000127765272377655
4,2.5e-09,3.18902181192958,0.000676154578600446,0.000114301228673504
4,2.5e-08,2.49185343242625,0.000489897027865061,6.71019227440158e-05
4,2.5e-08,1.62040543341783,0.000432543083133587,7.82920367647198e-05
4,2.5e-08,2.44948937998477,0.000417891362930268,5.93950105551291e-05
4,2.5e-07,1.08952199135363,0.000131546021018954,1.24021528302613e-05
4,2.5e-07,0.938537122851475,0.000166993247466416,1.31726048124967e-05
4,2.5e-07,1.1114363924852,0.000143207716459008,1.84049054244431e-05
4,2.5e-06,0.235795332240112,9.79557232794191e-06,9.32309938000632e-07
4,2.5e-06,0.235696303882977,1.16515964247201e-05,9.14257702148742e-07
4,2.5e-06,0.184533916750947,1.07185262937416e-05,1.32865807120505e-06
4,2.5e-05,0.0337557038304447,4.97388048848714e-07,1.67931757590502e-07
4,2.5e-05,0.0309199411374722,7.96745745334745e-07,1.58142264191229e-07
4,2.5e-05,0.0343399987848871,8.03460183275985e-07,1.65222381072423e-07
