t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.0011845973507512,0.000103128672625335,0,8.66150005723998e-07
5,NaN,0.360615062392321,NaN,NaN
7,0.512371716619833,NaN,NaN,NaN
10,NaN,0.0894224529184252,NaN,NaN
15,0.345505621491707,0.0375979665131411,0.000783179820933004,0.000738510361690415
20,0.313661530787191,0.0239574292412481,NaN,NaN
25,NaN,NaN,0.000990973429154558,0.00108818904165419
30,0.25967605924685,0.0149551434835238,NaN,NaN
35,NaN,0.00951096603279282,NaN,NaN
40,0.290086812305428,NaN,0.00136291371516074,0.0011030970355158
45,NaN,0.00712776311647401,NaN,NaN
50,0.243049249749788,NaN,NaN,NaN
55,NaN,NaN,0.00107492464605362,0.00111661145688103
60,NaN,0.00484296995059568,NaN,NaN
65,0.281863355402569,NaN,NaN,NaN
75,NaN,NaN,0.000849943878337415,0.000919655717899845
80,0.172945397617867,NaN,NaN,NaN
95,0.177838111635518,NaN,0.000597749004166339,0.000674308192747924
100,0.223910401328323,NaN,0.000707180135779828,0.000587197296319961
150,NaN,NaN,0.000437402057325279,0.000386730669458274
200,NaN,NaN,0.000395026254051444,0.000456560383926595
