t,epo_level,EpoRpJAK2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
21,2.5e-09,0.0195601686022853,0.000104138489962852,6.36311539407069e-05
21,2.5e-09,0.0211269970028433,9.08224517434859e-05,6.85742961523767e-05
21,2.5e-09,0.0226807983162417,7.00075849787692e-05,8.62182110862919e-05
21,2.5e-08,0.104470883097278,0.000721237919086358,0.000491499774493822
21,2.5e-08,0.151436860701376,0.000585955111670028,0.000498680787377345
21,2.5e-08,0.157726234582824,0.000722168385672241,0.000576753732999696
21,1.25e-07,0.448952935881538,0.00163667074853934,0.00142003200376358
21,1.25e-07,0.47805957571183,0.00138289431354523,0.00119180673710037
21,1.25e-07,0.512482037752471,0.00163212341623618,0.00141845149269522
21,2.5e-07,0.669838195330458,0.0021924892545148,0.00178301376797842
21,2.5e-07,0.740793616530734,0.00207111392490261,0.00219111671971889
21,2.5e-07,0.874826822222905,0.0019619355846087,0.00165581085342526
21,1.25e-06,1.67352325690448,0.0029843795324729,0.00212573169532035
21,1.25e-06,2.16525869712964,0.00192337674973183,0.00215725864981384
21,1.25e-06,2.20681999807742,0.00196589770373222,0.00259352362110296
21,2.5e-06,1.83960168929132,0.00265408449935198,0.00236532190818229
21,2.5e-06,2.30628190094091,0.0018361613793174,0.00187928816528952
21,2.5e-06,2.33694738594341,0.00259190610730773,0.00223535750992495
