t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.00103179212168969,9.72116823935084e-05,0,1.00473890446135e-06
4.5,NaN,0.348028888066638,NaN,NaN
6,0.495721593545077,NaN,NaN,NaN
9,NaN,0.150653805026166,NaN,NaN
10,0.488424715098805,NaN,0.000379808723081374,NaN
15,NaN,0.0479056889582844,NaN,0.000825007258849709
20,0.378101484050234,0.023663911965544,NaN,NaN
25,0.242377036688411,0.0169458997682701,0.00115370281325084,NaN
30,0.259434697376855,0.0175378350246791,NaN,0.00114506573175079
35,NaN,NaN,0.000998840295090005,NaN
40,0.227803496334813,0.00933219837354699,NaN,NaN
45,NaN,NaN,NaN,0.00129915455456392
50,0.206222557679215,0.00663094463127545,0.00103202553434028,NaN
60,0.227178941809772,0.00584618986741885,NaN,NaN
65,NaN,NaN,0.000864084527226107,0.000862793870780057
75,0.216237557570094,NaN,NaN,NaN
80,NaN,NaN,0.000746025741973343,NaN
85,NaN,NaN,NaN,0.000696967676435193
90,0.167268750152201,NaN,NaN,NaN
100,0.221287932469183,NaN,0.000499136012207966,0.000623450362711157
150,NaN,NaN,0.00036157922321449,0.000524321752421788
200,NaN,NaN,0.000372798654886913,0.000465387459702346
