t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.00120377138744567,0.000743776043681655,0,1.15824819553259e-06
4.5,NaN,0.631361893825828,NaN,NaN
8,0.496140758425819,NaN,NaN,NaN
9.5,NaN,0.416343020215336,NaN,NaN
10,NaN,NaN,0.000734873106732743,NaN
15,0.63973700461328,0.193783007302314,NaN,0.00104157708302489
20,NaN,0.134728897518204,NaN,NaN
25,0.42149868681248,0.0704144331502534,0.00136268693384397,0.00167545295558531
35,0.371957988210885,0.0493020036978402,0.00130740715263491,NaN
40,NaN,0.0378151742350708,NaN,0.00133028933608439
45,0.399028594229678,NaN,NaN,NaN
50,NaN,0.0320820203047771,0.0015057800000689,NaN
55,0.374728052828065,NaN,NaN,0.00129366522448901
65,NaN,0.0187342262611636,0.00127937347816363,NaN
70,0.294023766693374,NaN,NaN,NaN
75,NaN,NaN,NaN,0.00103367474280939
85,NaN,NaN,0.000934927640027457,NaN
90,0.257756933540291,NaN,NaN,NaN
95,NaN,NaN,NaN,0.000816863449664652
100,0.265417480825353,NaN,0.000699441122317205,0.00070440169451575
150,0.203628939815892,NaN,0.000629867914811545,0.000706277407119668
200,NaN,NaN,0.000653331636956922,0.000585033308998319
