t,EpoRpJAK2_Obs,CISnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.0010420018360334,0,0,1.09236401009858e-07
10,0.714508975502745,0.0398929499017155,NaN,NaN
15,NaN,NaN,3.77801060068851e-05,NaN
20,NaN,NaN,NaN,6.72914011901522e-05
25,0.248228339987901,12.3453823498765,NaN,NaN
35,0.263842301598724,43.7988464776926,0.000105416047933389,NaN
40,NaN,NaN,NaN,0.000139677740683033
50,0.211564515137568,176.81090935086,NaN,NaN
55,NaN,NaN,0.000135509865753056,NaN
60,NaN,NaN,NaN,0.000156968522317014
65,0.179108122858158,223.668110061115,NaN,NaN
75,NaN,NaN,0.000140242113251097,NaN
80,NaN,205.797061269432,NaN,NaN
85,0.17223962562586,NaN,NaN,0.000134618835052897
95,NaN,174.476098319347,NaN,NaN
100,0.20689247019294,217.366599800591,8.96164358475266e-05,0.000103955322764103
150,0.168243825985215,158.807881520025,8.15665834967476e-05,0.000107231692452652
200,0.175612401489834,170.228222511879,0.000114430062122269,8.54963049428366e-05
250,NaN,125.981872263045,8.1780060206556e-05,6.9114066448134e-05
300,NaN,133.339839739881,8.65355440518318e-05,NaN
