t,EpoRpJAK2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.01196130173931,0,6.30308479761863e-06
6.5,2.40871598562504,NaN,NaN
10,NaN,NaN,0.0012561034772797
15,2.01780308808539,0.00252278673046716,NaN
20,1.78936881552733,NaN,NaN
25,1.42010321575702,0.00242471723182844,0.00245427154015062
35,1.38714011017658,NaN,0.00271405258644559
40,NaN,0.00248688746588586,NaN
45,1.51851319439715,NaN,NaN
50,NaN,NaN,0.00241525439931567
55,1.17993206428112,NaN,NaN
60,NaN,0.00185460458725741,NaN
65,1.06945728827339,NaN,0.00169608835294505
75,0.992493038684206,0.00199877470784448,NaN
85,NaN,NaN,0.00159744292039823
90,1.30663083151719,NaN,NaN
95,NaN,0.00110362673645291,NaN
100,0.918712831683515,0.00109249749574036,0.00135433307062238
150,1.02487051501496,0.000834453680323064,0.00124026477738076
200,NaN,0.0011609573125883,NaN
