t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISnRNA4_Obs,CISnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs
0,0.000981719946042936,0,0.000104395176374455,0,0,0,1.15021493335749e-06,1.26832561946134e-06
15,0.519535273198506,0.0893551839053608,NaN,NaN,45.2260570495433,NaN,NaN,NaN
20,NaN,NaN,0.112846915285674,NaN,NaN,NaN,NaN,NaN
25,0.424485993687929,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,0.0585985667726498,NaN,1192.61341572386,938.302448056443,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,0.00196029672378909,0.00174751967292548,0.00172935050608512
40,0.362943885451452,NaN,0.0341610181521497,NaN,NaN,NaN,NaN,NaN
45,NaN,0.0299662318792066,NaN,NaN,2233.82160052503,NaN,NaN,NaN
55,0.426863477695796,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,1684.60334465151,2711.03411289359,NaN,NaN,NaN
65,NaN,0.0240596376000795,0.018188032207011,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,0.0010841521827379,0.00103219868001093,NaN
75,0.317759848141335,NaN,NaN,NaN,NaN,NaN,NaN,0.00102870337342476
80,NaN,NaN,NaN,NaN,2449.89004289342,NaN,NaN,NaN
85,NaN,0.0183947328518767,NaN,NaN,NaN,NaN,NaN,NaN
90,0.30720260301383,NaN,0.0120894895882712,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,1536.56178416003,NaN,NaN,NaN,NaN
100,0.378024338548819,0.0261011225266951,0.0124152955126845,NaN,2163.15915325287,0.000721010176551467,0.000691960227507431,0.000637769529930865
150,0.262145582880082,0.0227665887699542,0.0130178604736807,1400.77318739798,1144.716838671,0.00048833178706118,0.000527844087749567,0.000457083925868376
200,0.347847095731299,0.0168213231923605,NaN,1033.57758072418,1050.37601008308,0.000580866429668568,0.000484919287783519,0.000539248865676605
250,0.292190106383784,0.0202830556458141,NaN,1223.90102036561,896.690771937687,0.000489106389301349,0.000506859912574628,0.000680647998864838
300,NaN,NaN,NaN,981.119684114158,NaN,0.000591943905798313,0.000531689052169552,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000526258208278914
400,NaN,NaN,NaN,818.338640958616,NaN,0.000521758306332338,0.00061991570935812,0.000554166706421352
450,NaN,NaN,NaN,NaN,NaN,0.00061084421590068,0.000634082902902055,NaN
500,NaN,NaN,NaN,778.705012185326,NaN,NaN,NaN,0.0005055227629391
600,NaN,NaN,NaN,853.950147222334,NaN,NaN,NaN,NaN
