t,EpoRpJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs
0,0.000876466659464067,0,0.000148936247780178
10,0.519732879080303,NaN,0.51761396995226
15,NaN,0.0773328434424811,NaN
20,NaN,NaN,0.125708759294066
25,0.396189993668002,NaN,NaN
30,NaN,0.0536215231214525,NaN
35,NaN,NaN,0.0654601968033641
40,0.443776712017496,NaN,NaN
45,NaN,0.0523338236458354,0.0403836680171214
55,0.360221364989927,NaN,NaN
60,NaN,NaN,0.0371971380625258
65,NaN,0.0370287904448255,NaN
70,0.352770937051325,NaN,NaN
80,NaN,NaN,0.034251325250412
85,NaN,0.0346920570260116,NaN
90,0.426216922606843,NaN,NaN
100,0.373131882464251,0.0295953835370073,0.0324197548622884
150,0.30971460956193,0.0242516615211151,0.0170794959198481
200,0.264729318418247,0.0204521713226953,NaN
