t,EpoRpJAK2_Obs,CISnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.00113269890575496,0,0,9.77304951359404e-07
10,0.984345884541391,0.76638035501884,NaN,NaN
15,NaN,NaN,NaN,0.000524451501720478
20,0.760134856833777,NaN,0.000926236080817292,NaN
25,NaN,227.517378841466,NaN,NaN
30,NaN,NaN,NaN,0.0010846525089006
35,0.493291291533288,603.333381765697,NaN,NaN
40,NaN,NaN,0.00121479744111562,NaN
45,0.692851573000727,NaN,NaN,NaN
50,NaN,1436.8520859523,NaN,0.001278481779638
60,0.531497033736352,NaN,0.00165624158046573,NaN
65,NaN,1918.35392081127,NaN,0.00139101704638471
80,0.402444393363813,1972.44668412606,NaN,NaN
85,NaN,NaN,0.000868210368910867,NaN
90,NaN,NaN,NaN,0.000703210352487364
95,0.432483519228246,NaN,NaN,NaN
100,0.32778248160517,1782.8623348861,0.000704972824802974,0.000776042674245643
150,0.354839308004178,1093.57328539407,0.000538672910847829,0.000664486155658615
200,0.312848495848779,1165.97353255752,0.000567223598153882,0.000610240283262364
250,NaN,1069.27537746088,0.000526846590431337,NaN
300,NaN,1033.72366712906,0.000591104017425764,NaN
