t,EpoRpJAK2_Obs,CISnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.000967381251243155,0,0,1.19812829389038e-07
10,0.445980869023656,0.0402753898193827,NaN,NaN
20,0.335416201707961,NaN,6.81150794549495e-05,5.27484058559217e-05
25,NaN,9.65520398191891,NaN,NaN
30,0.31115244182818,NaN,NaN,NaN
35,NaN,50.3823624138715,0.000147096077014644,0.000122271731499612
45,0.218549365531044,NaN,NaN,NaN
50,NaN,161.171545174064,NaN,NaN
55,0.194012492515191,NaN,0.00016398827092335,0.000122630640044922
65,NaN,204.348926518387,NaN,NaN
70,0.198445074805473,NaN,NaN,NaN
75,NaN,NaN,0.000144285209432318,NaN
80,NaN,212.416105375259,NaN,0.000138960214176569
90,0.182709196161135,NaN,NaN,NaN
95,NaN,244.26820789375,NaN,NaN
100,0.183086557922852,233.731403869901,0.000102016055130022,0.000121026474948028
150,0.158468503347438,180.730384251052,0.000109537834281854,7.20081979230181e-05
200,0.182534580779923,173.340099643999,0.000100414156637949,6.99982829258142e-05
250,NaN,164.012152587677,7.89710666690992e-05,0.000107395043903949
300,NaN,136.726534570885,5.90326582546341e-05,NaN
