t,epo_level,SOCS3nRNA5_Obs
140,2.5e-09,0.000154125289925726
140,2.5e-09,0.000159583798736753
140,2.5e-09,0.000180968213210609
140,2.5e-08,0.000298938587024667
140,2.5e-08,0.000449801118466876
140,2.5e-08,0.000457492433032888
140,1.25e-07,0.000602867373323921
140,1.25e-07,0.000639324465175404
140,1.25e-07,0.000710198122517612
140,2.5e-07,0.00063723431127092
140,2.5e-07,0.000671166553683555
140,2.5e-07,0.000756767043371216
140,2.5e-06,0.00116085462099178
140,2.5e-06,0.00116981356983437
140,2.5e-06,0.00149991311272387
