t,Rec1_Obs,Rec2_Obs,IR2in_Obs,Uptake2_Obs,InsulinFragments_Obs
0,94.1427023249819,2548.9480745058,8.39447260035946,0,0
7,NaN,165.496366150861,1036.02840794076,NaN,NaN
8.5,28.8063532177492,NaN,NaN,2794.05866697287,NaN
9,NaN,NaN,NaN,NaN,323.790498599257
15,21.3222298113596,210.617827327901,2214.58479734705,1956.1303859901,NaN
20,NaN,129.57397493556,865.09770891363,NaN,829.624154752712
25,26.4959560545036,NaN,NaN,3320.5868312513,NaN
30,NaN,115.548968526802,3228.44973596754,NaN,726.831481328563
35,22.6461909635793,NaN,NaN,2505.12157042023,NaN
40,NaN,194.58448031186,1641.04597201132,NaN,1722.98041716758
45,42.1188110282123,118.416273537477,1345.32450642502,4113.9951861428,NaN
50,NaN,NaN,NaN,NaN,1724.27320906388
55,30.2941438973997,NaN,1088.29456594327,2752.93450018416,NaN
60,NaN,276.010518441157,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,2811.31938592517
70,27.8224149217083,282.101862233898,1341.36975840159,3006.45821312192,NaN
80,29.4471538630162,258.972455502972,1530.82987837325,NaN,1558.47724686139
85,NaN,NaN,NaN,4768.80839223735,NaN
95,NaN,424.315100678423,2029.00938474763,NaN,3343.22286881027
100,39.9715206101935,184.0046714216,2420.31127860041,5360.04015200863,3586.97787863033
150,53.6909636643872,592.687007718759,1781.06775083008,6044.12510335247,11986.6528325708
200,44.3076418911591,381.818838935769,2176.75847946781,5768.68872838693,5453.22640893829
