t,Ins_Obs,IR2in_Obs,Uptake1_Obs,BoundUnspec_Obs
0,8.09455348902588e-18,1.03693789059028e-17,6.87466714293088e-18,0
5,NaN,8.52202762697204e-18,NaN,0
5.5,5.26414017828296e-18,NaN,NaN,NaN
6,NaN,NaN,5.95530664447826e-18,NaN
10,6.84537351908055e-18,9.57353992555631e-18,NaN,0
15,NaN,9.4858051439257e-18,1.21051422112306e-17,0
20,3.71906909999941e-18,7.02795400337908e-18,1.35442883115254e-17,0
25,2.16049439041043e-17,NaN,NaN,NaN
30,NaN,1.39219045655931e-17,1.54390383714637e-17,0
35,8.23145516379166e-18,NaN,NaN,0
