t,Ins_Obs,IR2in_Obs,Uptake1_Obs,BoundUnspec_Obs
0,5.56433293613462,0.00414895123332384,0.000876711141892802,0
4.5,1.86169432620426,NaN,0.12573859990047,NaN
5.5,NaN,NaN,NaN,3.11529566035377
9,1.65129677906215,4.95609260661987,NaN,NaN
9.5,NaN,NaN,0.140056733923275,NaN
10,NaN,NaN,NaN,1.8301490358395
15,0.801696134333401,NaN,0.144900993454399,0.94344603772383
20,0.939793849204561,3.64471735455303,0.254119188556434,1.02291197608476
25,0.754766603635314,NaN,0.105567322392088,NaN
30,NaN,4.71965803424383,NaN,1.28293318537792
35,0.544360014603601,NaN,0.191366254440745,0.798524459372371
40,0.700287280420137,4.87867940114262,NaN,NaN
45,NaN,NaN,0.16693799932392,0.599720981237669
50,0.692959780413432,4.81962636579431,NaN,NaN
55,NaN,NaN,0.189109791408943,0.365813887221364
60,0.442146567254324,3.18687497324863,NaN,NaN
65,NaN,NaN,0.107169910184075,0.366394130434448
75,0.279795629201731,2.15792808441091,NaN,NaN
80,NaN,NaN,NaN,0.616661036384771
90,NaN,2.24556989862408,NaN,NaN
95,NaN,NaN,NaN,0.204148028482527
100,NaN,1.1783810657975,NaN,NaN
150,NaN,0.895141311084845,NaN,NaN
200,NaN,0.449229621258036,NaN,NaN
