t,Ins_Obs,Uptake1_Obs,BoundUnspec_Obs
0,1.29117791596016,5.69604474452288e-05,0
4.5,NaN,0.0174973804556897,NaN
5.5,0.245915253864783,NaN,NaN
6,NaN,NaN,0.458100405543209
9,NaN,0.0170017229913818,NaN
10,0.0800991750942707,NaN,NaN
15,NaN,0.0185990151111734,0.190569983521076
20,0.0951830492774421,0.0176553033918235,0.100653469118375
25,0.0487438882686569,0.0203284900950176,0.151778264101938
30,0.0401822182566387,0.0249672517962995,NaN
35,NaN,NaN,0.0711748120006328
40,0.0842262493453054,0.0161707800042913,NaN
45,NaN,NaN,0.0748257783136214
50,0.0413688463381236,0.00998002597409219,NaN
55,NaN,NaN,0.0743433152119351
60,0.0454469055177227,0.0113344020282061,NaN
70,0.0418675047094775,NaN,0.0688286537662999
85,0.0248541114390384,NaN,0.0423096239209171
100,0.0291631380784782,NaN,0.0313112443054488
