t,Rec1_Obs,Rec2_Obs,Uptake2_Obs,InsulinFragments_Obs
0,200.138856626936,1798.08225661867,0,0
6.5,NaN,2411.98629707708,NaN,NaN
8,139.19429610882,NaN,NaN,NaN
8.5,NaN,NaN,496.481329868131,29.1185932293737
15,58.2995207360511,742.465407577597,577.409377456206,94.9178069343682
20,NaN,643.604414587095,NaN,NaN
25,57.3086137494164,1621.65391734748,863.513410684388,165.424464885274
35,136.169903487658,2235.0530510097,861.582497820096,363.803026007275
45,80.5528021670422,1286.81843164542,436.006532337563,674.4523580549
50,NaN,1791.59927609198,NaN,NaN
55,108.321521394182,NaN,782.716106756516,NaN
60,NaN,NaN,NaN,436.034342806519
65,77.492782443548,1313.59554544151,NaN,NaN
70,NaN,NaN,1153.64051097035,462.35057029948
75,NaN,2629.75208514791,NaN,NaN
80,208.029527562026,NaN,NaN,NaN
85,NaN,NaN,891.876014473454,683.590762126626
90,NaN,2274.08713433051,NaN,NaN
95,63.0883473325751,NaN,NaN,NaN
100,98.6015164847643,2249.02655619971,345.453928973542,691.687954884374
150,78.5104056921113,2457.83174796523,726.610290431052,817.729307646174
200,NaN,NaN,1158.21286638549,726.305772288707
