t,ERK_Obs,Compound_1_Obs,Compound_2_Obs
0,1.53835046082767,1.90634618074189,1.90778165601634
0.35,NaN,0.840444879319253,NaN
0.45,1.39006520288059,NaN,NaN
0.55,NaN,NaN,1.72547748110162
0.75,NaN,1.89177616667791,NaN
0.95,0.397994323158858,NaN,NaN
1,NaN,1.00111297100322,2.27007633723918
1.5,1.77894879721898,2.57875884101045,NaN
2,0.342242763594816,1.49382001060344,2.91825810289172
2.5,NaN,0.682334384951587,2.58525360046374
3,0.8289408667469,1.30500960003671,0.903782285238025
3.5,0.718528304322277,NaN,NaN
4,NaN,1.64703244680546,8.67148320702918
5,NaN,1.78363150396773,1.1598881308964
6,NaN,1.43063008400242,0.651343169589297
7.5,NaN,NaN,1.78445108543397
9,NaN,NaN,3.30608701997659
10,NaN,NaN,2.95490825456417
