t,ERK_Obs,Compound_1_Obs,Compound_2_Obs
0,1.53777350864064,0.879179808618836,1.2974444469382
0.35,NaN,1.59816922783211,NaN
0.4,NaN,NaN,1.97702674984414
0.45,0.39969137662853,NaN,NaN
0.7,NaN,0.837924167312872,NaN
0.85,NaN,NaN,1.70070861819256
0.95,0.718577728065244,NaN,NaN
1,NaN,1.55710496009441,NaN
1.5,1.56275357832439,0.592227372463252,1.06341526831358
2,0.977562487647551,1.21797073223145,2.14800455287409
2.5,NaN,0.981898903343543,2.52883837202751
3,0.721401629732831,0.931147118699639,1.14644234255141
3.5,0.299715039493661,1.95318494886496,NaN
4,NaN,NaN,2.3856754552612
4.5,NaN,1.82176224717644,NaN
5,NaN,0.606294329978427,2.11044967859292
6,NaN,0.452562349511187,2.48633354383866
