t,ERK_Obs,Compound_1_Obs,Compound_2_Obs
0,0.563335862861882,0.946643559991301,1.15135314725277
0.2,0.709011437628308,3.92481377915194,1.3830029916613
0.4,0.699658555105498,1.16075967497023,1.94337458434662
0.6,0.884446003696951,NaN,NaN
0.65,NaN,1.04893802964318,2.91696224705439
0.85,1.19596899576925,NaN,NaN
0.9,NaN,1.2388778237688,1.43469666333778
1,1.78193026007708,0.769247965387551,2.06035945971105
1.5,0.626222148314399,2.00605992906755,3.36499358826434
2,0.409238279257372,1.2378725558506,2.6628437163312
