t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,174.875335282932,138.661230839821,-8.99001847731908,-13.6586634546207
10,NaN,NaN,6.25918957177525,24.9230407212476
15,139.522218320309,155.644441855966,NaN,NaN
25,NaN,169.120761989292,77.7284913711986,70.1105334078057
30,119.974132010048,NaN,NaN,NaN
35,NaN,NaN,NaN,111.58013001917
40,NaN,193.933240269022,105.715759731889,NaN
45,132.838163765297,NaN,NaN,NaN
50,NaN,NaN,150.669577508032,167.374848523323
55,NaN,205.054486880685,NaN,NaN
60,163.000502033226,NaN,NaN,NaN
65,NaN,NaN,NaN,220.094177931627
70,NaN,NaN,224.182492234173,NaN
75,NaN,208.686189290151,NaN,NaN
80,224.39120366957,NaN,NaN,NaN
85,NaN,NaN,248.384658185918,254.242267807581
90,NaN,201.877454412099,NaN,NaN
100,273.952473272339,209.400145327096,301.268065159378,309.286132409156
150,392.549449884595,187.371251941766,398.320837633943,429.314753495834
200,454.219433779181,158.515009812302,512.566083175734,513.435991984184
250,493.102036169879,152.983466330286,592.510755775974,583.45171704385
300,522.017455073208,141.49450684532,647.181711295552,652.502652631177
