t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,126.411245937134,2.20170001889913,2.93111631371375
10,136.836895169716,NaN,6.45634491745885
15,NaN,9.86630955105766,NaN
25,157.049097384014,21.5837399965617,24.6967635407957
35,158.377930854013,NaN,42.6757598189704
40,NaN,41.4445316790059,NaN
50,166.311436653699,NaN,59.6581724441098
55,NaN,76.087203515136,NaN
65,169.865617219273,NaN,86.7751994879217
70,NaN,93.5963240974666,NaN
80,166.971090445943,NaN,117.040979865549
90,NaN,133.293508801292,NaN
95,NaN,NaN,144.516222136806
100,176.493307957266,148.110231266684,151.187126729337
150,167.484455109674,217.376957811104,218.698892326022
200,160.197669884226,273.349791016057,270.53846484513
250,143.985477337326,308.312123506899,318.659326536663
300,143.509245501595,341.336034627248,345.014721893277
