t,S4_Obs,pS3_Obs
0,48.1123711107131,-0.144427205115411
40,29.0377186939211,NaN
45,NaN,0.984729432608143
85,56.8505637495797,NaN
95,NaN,0.781728088851024
150,67.9181984859768,0.370769446024664
200,60.0004073684629,0.336756816252312
250,NaN,0.048614246569869
300,64.3381754107723,NaN
350,47.1594454255234,-0.0447117749936457
400,39.1135231693264,0.152714222176233
500,79.21826433733,0.0225542635988832
600,107.211925127364,0.016776724192667
700,36.8389945018162,0.0258045366629594
850,61.1118165137841,0.0651463882595992
