t,S4_Obs,pS3_Obs
0,272.641585252698,0.0933582275303194
50,87.6277211336869,1.21401241646037
95,183.385390885907,0.7655464439655
150,183.7707924501,0.362195100747721
200,257.445938813569,0.167337302498106
250,242.333191900452,0.138272499046944
300,225.017523243221,NaN
350,NaN,0.0826266560516318
400,238.582473713546,0.012053129682309
500,196.365192391457,0.0100696345788938
600,167.94164070764,-0.104791791478676
700,289.787301806297,0.0400746585852535
800,300.349036689893,NaN
850,NaN,-0.0911621224658545
1000,281.145784070661,NaN
