t,S4_Obs,pS3_Obs
0,61.6563438030304,0.079615825117121
45,80.2842014649087,NaN
60,NaN,0.981387084679894
90,39.9663403435123,NaN
100,NaN,0.619093106192125
150,58.1009957558947,NaN
200,28.9637613804123,0.331930538828081
250,50.6806939059102,0.250017996180136
300,70.7861122461656,NaN
350,39.6111110153509,0.219911617634603
400,NaN,0.162692703683342
450,42.0019847698849,NaN
500,NaN,-0.034631459167093
550,47.2342422862405,NaN
650,62.4014618980241,0.0134077285212984
750,15.2571845561981,-0.058215213267137
900,70.9871276620275,-0.0427465767654139
1000,NaN,0.0159809857271597
