t,geneG_Obs,geneL_Obs
0,1.41135361177791,0.533979930899084
55,3.46608925811633,NaN
80,NaN,0.578792094258608
100,2.39349064903016,NaN
150,2.16615529205611,-0.20603367846808
250,2.2337563462836,0.605042323177132
300,2.42152676620568,NaN
350,NaN,0.253709276765777
400,-0.0145619706933531,NaN
450,1.59588012115248,0.780169428183231
550,2.03521632752185,0.415454766041901
700,1.40739709650022,0.478375919556801
800,NaN,1.10980576442678
850,0.98700193941617,NaN
1000,1.93348330310689,1.30550450450132
1500,NaN,0.174378376800154
