t,S4_Obs,pS3_Obs
0,73.312021853836,-2.63403116293269
45,NaN,18.7499443382042
50,84.4973022310345,NaN
95,NaN,12.4923644297776
100,84.5249702604588,NaN
150,80.2480796170838,7.23287047091372
200,60.1343576137015,1.94129829565132
250,64.5076380123223,3.36335017569732
350,70.548920904171,0.873048845717013
400,68.1297577150926,1.8187152739886
500,47.9028576987644,-0.336609082849087
600,44.1722674225223,1.11117708617886
700,97.8416449692808,NaN
750,NaN,1.56384495786485
850,56.0824263062334,NaN
900,NaN,1.25325774552064
1000,48.6114219779301,NaN
