t,geneG_Obs,geneL_Obs
0,0.993481002288713,1.24232460350629
45,2.66392670134304,NaN
65,NaN,0.331164676360054
90,1.63903756885248,NaN
150,1.19610407695466,0.0906026718956937
200,1.97591809224802,1.06371798822662
250,1.14113104520776,NaN
300,1.35084423553899,0.679047293374048
350,NaN,0.821688781574203
400,1.13460336580199,NaN
450,NaN,1.13468109755818
500,1.29641741585757,NaN
600,1.42179498351887,0.203393803575169
700,0.682917086769137,1.29584368973815
850,0.636174357559559,NaN
900,NaN,0.911051269898835
1000,NaN,1.399486793632
