t,TGFb_Obs,TGFb_pRec_Obs,ppS2_Obs,geneA_Obs,geneB_Obs,geneD_Obs,geneF_Obs,geneH_Obs
0,0.950209052652865,0.000116987613024158,0.0143676624005441,0.897930774689693,1.28910938840323,1.28684065272108,2.00141237911056,1.16090181785894
55,NaN,0.0681528250072879,5.61099348973434,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,9.76416265802284,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,21.2174301593352,0.790665120070157
75,NaN,NaN,NaN,2.04584556190407,NaN,2.16707272571585,NaN,NaN
80,0.477656607777916,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,0.0396395146233438,6.38470924648368,NaN,7.08894350548261,NaN,NaN,NaN
150,0.853371292659239,NaN,3.18509980859142,1.86911982928425,NaN,0.89285038715912,15.1621781569952,0.871933320056717
200,NaN,0.0215320062654037,NaN,NaN,16.6190654146626,NaN,18.3598300395737,0.983790497792333
250,0.429766913260225,0.022829304257623,2.59945922413376,1.54166428270662,17.3181352279035,1.87078088800651,12.1728847729629,NaN
300,NaN,0.0135231538991183,2.05573749692189,2.08951229278937,NaN,2.03586018415853,NaN,0.523745648198432
350,0.231827440460574,NaN,NaN,NaN,11.0973036917805,NaN,9.05728699266358,0.964617120581701
400,NaN,0.00865395200378259,0.847068204588437,2.96795399867898,5.696100230365,2.28995357311788,NaN,NaN
450,0.173601651982563,NaN,0.562273528737569,NaN,NaN,NaN,8.61826250820738,1.04138630349754
500,NaN,0.00897632035514761,NaN,1.81596430532039,11.2958332887301,NaN,21.0056846668966,NaN
550,NaN,NaN,1.00333236880319,NaN,NaN,2.39858410291742,NaN,1.24692705842171
600,0.21834191074894,0.00647608955089858,NaN,NaN,7.58390354987063,NaN,7.94068042824086,NaN
650,NaN,NaN,NaN,2.11262128589205,NaN,2.54723013228752,NaN,NaN
700,NaN,NaN,0.527596772460356,NaN,6.52373699652033,NaN,NaN,1.1106416622228
750,0.10635341988553,0.00351923370982264,NaN,NaN,NaN,NaN,4.79634944335167,NaN
800,NaN,NaN,NaN,1.18681514412557,NaN,1.61374773830508,NaN,NaN
850,NaN,NaN,0.181592669220634,NaN,4.12478943961301,NaN,NaN,0.868745981329483
900,NaN,0.00309466204579378,NaN,NaN,NaN,NaN,6.55735446749568,NaN
950,0.0731743545363295,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000,0.0406864662658112,0.00341579270712142,0.19024156586279,1.52346018449643,9.97516588888768,1.13640562699055,2.62683941332128,1.88111599735332
1500,0.0158547751389519,NaN,NaN,1.05710978863344,3.70028568000627,1.07645815748108,0.8600783842343,1.24404735744637
