t,TGFb_Obs,TGFb_pRec_Obs,ppS2_ppS2_ppS2_Obs,geneA_Obs,geneB_Obs,geneD_Obs,geneF_Obs,geneH_Obs
0,8.13641276913727e-18,9.97749298513066e-18,0,0.558546078202281,0.812600457329972,0.514651583029731,0.85633704992594,0.976442452237421
9.5,NaN,NaN,NaN,NaN,NaN,NaN,0.507187975106213,NaN
10,6.83009275570725e-18,8.53645295370827e-18,0,NaN,0.943847381798207,0.730850015493534,NaN,NaN
15,NaN,NaN,NaN,1.34697358462613,NaN,NaN,NaN,1.15731491819767
20,9.90706666186785e-18,NaN,0,NaN,NaN,1.55258454709445,0.949745200428052,NaN
25,NaN,1.20463347549434e-17,NaN,1.579949344371,0.874207379193656,NaN,NaN,0.846596365195976
30,NaN,NaN,NaN,NaN,NaN,NaN,1.12464470510841,NaN
35,1.4947107975446e-17,NaN,0,NaN,1.15395549106333,1.32052894118632,NaN,NaN
40,NaN,1.19906828642674e-17,NaN,0.682153992175362,NaN,NaN,NaN,1.56087466688266
45,NaN,NaN,0,NaN,NaN,NaN,0.933911222022689,NaN
50,7.26471205221956e-18,NaN,NaN,NaN,1.5651082879698,1.171326752428,NaN,NaN
55,NaN,1.36554823964581e-17,NaN,NaN,NaN,NaN,0.819754749269302,NaN
60,NaN,NaN,0,0.755341017089089,NaN,NaN,NaN,1.09896384208631
65,9.39834206008611e-18,NaN,NaN,NaN,NaN,1.88687535897561,NaN,NaN
70,NaN,NaN,NaN,NaN,0.700536805902647,NaN,NaN,NaN
75,NaN,6.91313202460915e-18,NaN,NaN,NaN,NaN,0.851626084253617,1.87941119298486
80,NaN,NaN,0,1.08687669679998,NaN,NaN,NaN,NaN
85,1.04045962536854e-17,NaN,NaN,NaN,NaN,0.945796514487854,NaN,NaN
90,NaN,NaN,NaN,NaN,0.859152733796368,NaN,NaN,NaN
95,NaN,1.04002675125955e-17,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,1.13459801814048,NaN,NaN,NaN,1.50999561846734
