t,TGFb_Obs,TGFb_pRec_Obs,ppS2_ppS2_ppS2_Obs,geneA_Obs,geneB_Obs,geneD_Obs,geneF_Obs,geneH_Obs
0,9.95609714762691e-18,9.92976341303062e-18,0,1.56406940001405,1.39965412443755,0.724359777937437,0.724254315718314,1.1377859592521
8.5,NaN,NaN,NaN,NaN,NaN,NaN,0.947595608818229,0.746193454960701
9.5,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
10,1.06451536325575e-17,1.09851462811639e-17,NaN,0.828898125956027,1.46012229845928,NaN,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,1.04878691700282,NaN,1.17855501638415
20,NaN,5.78487770442102e-18,0,NaN,0.752179954234825,NaN,0.685551122175658,NaN
25,6.39739350162248e-18,NaN,NaN,1.39027314218122,NaN,1.2984463681245,0.888309158765523,1.03243866957122
30,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
35,7.44066235979074e-18,7.45875626273409e-18,NaN,NaN,1.21916388369046,NaN,NaN,1.65987809844177
40,NaN,NaN,0,1.09278628863129,NaN,0.611731453844965,0.73666390812768,NaN
45,NaN,9.00596751585541e-18,NaN,NaN,1.11759049805029,NaN,NaN,NaN
50,1.05726295690018e-17,NaN,NaN,NaN,NaN,NaN,1.14030667359879,1.73150718292028
55,NaN,NaN,0,0.709236663804752,NaN,1.47175281805598,NaN,NaN
60,NaN,1.27815530903916e-17,NaN,NaN,0.713663329673571,NaN,0.823978666908064,0.911188991873466
70,1.62476383848959e-17,NaN,0,1.4611199785056,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.906930890617055,0.823734733634364,0.576842185750129
80,NaN,9.60025005978685e-18,NaN,NaN,1.14148920045202,NaN,NaN,NaN
90,9.96593046809724e-18,NaN,NaN,0.798773630612343,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,1.80412586976698,NaN,NaN
