t,TGFb_Obs,TGFb_pRec_Obs,ppS2_ppS2_ppS2_Obs,geneA_Obs,geneB_Obs,geneD_Obs,geneF_Obs,geneH_Obs
0,1.13062152278551e-17,9.08763671302639e-18,0,0.986525953848202,1.25733908706448,1.25283537882672,1.5095138036645,1.03448832945083
10,1.05623923442705e-17,7.07155934867018e-18,0,1.12596232273667,NaN,0.824418247489282,1.3306726467405,1.11926974892685
15,NaN,NaN,NaN,NaN,0.74386135514202,NaN,NaN,NaN
20,NaN,NaN,NaN,0.641769769031586,NaN,NaN,NaN,NaN
25,1.61882458670474e-17,1.051827680291e-17,0,NaN,1.08692146643165,1.26912385805919,0.841943790954799,1.3399594164926
35,NaN,1.31782180204811e-17,NaN,0.951683834536949,NaN,1.36157142956531,0.862533657925528,NaN
40,8.92899828835494e-18,NaN,0,NaN,0.943133187941097,NaN,NaN,0.893253100693577
50,NaN,1.19471420268324e-17,NaN,0.928505933199322,NaN,0.80537210658798,1.21571195499772,NaN
55,8.63984883447348e-18,NaN,0,NaN,NaN,NaN,NaN,0.812315421213663
60,NaN,NaN,NaN,NaN,1.05550337629052,NaN,NaN,NaN
65,NaN,NaN,NaN,1.29150733801704,NaN,NaN,1.02584498212783,NaN
70,7.60864102845487e-18,1.0641556582566e-17,NaN,NaN,NaN,1.11003634194262,NaN,1.00570619429084
75,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,1.30202044827373,NaN,NaN,NaN
85,NaN,NaN,NaN,0.758131230677087,NaN,NaN,1.12219488678041,NaN
90,1.17709460007914e-17,1.29720881754875e-17,NaN,NaN,NaN,1.09576218720156,NaN,0.942121199371788
95,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,1.06834552169207,NaN,NaN,NaN
