t,TGFb_Obs,TGFb_pRec_Obs,ppS2_ppS2_ppS2_Obs,geneA_Obs,geneB_Obs,geneD_Obs,geneF_Obs,geneH_Obs
0,7.71821624788241e-18,9.46225389898562e-18,0,1.39815414772849,1.68170397295269,1.09916960249154,0.808654308487513,1.338585856919
10,1.1698531918607e-17,1.11847788415707e-17,0,NaN,0.769668390337255,NaN,0.70391215950588,0.754351637994157
15,NaN,NaN,NaN,1.33628284598446,NaN,0.795078307097108,NaN,NaN
20,1.3799976050487e-17,NaN,NaN,NaN,NaN,NaN,0.773168766518582,0.864143524237483
25,NaN,1.3593572020219e-17,0,0.955360386350248,0.689694594034289,0.874650593569067,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.30710867085647
35,7.73543405015065e-18,NaN,0,NaN,NaN,NaN,0.750216228595486,NaN
40,NaN,1.1465102868634e-17,NaN,0.581767899904209,1.15125375169843,0.723996743645054,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.63527550702944
50,8.24487567238849e-18,NaN,0,NaN,NaN,NaN,1.23727370171959,NaN
55,NaN,1.34197323190779e-17,NaN,1.58585571765475,1.24788579297965,NaN,NaN,1.13102846035229
60,NaN,NaN,NaN,NaN,NaN,0.809492582572901,NaN,NaN
65,6.80128620711094e-18,NaN,0,NaN,NaN,NaN,0.803866509302126,NaN
70,NaN,1.25995180568197e-17,NaN,NaN,1.34039967454866,NaN,NaN,NaN
75,NaN,NaN,NaN,0.743139680737904,NaN,NaN,NaN,0.967641501645974
80,2.51243288720225e-17,NaN,NaN,NaN,NaN,1.60431502566313,0.490458145266856,NaN
85,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN
90,NaN,6.42332077621597e-18,NaN,NaN,1.2401405642672,NaN,NaN,1.17412276746877
95,NaN,NaN,NaN,0.84427122248622,NaN,NaN,NaN,NaN
