t,TGFb_Obs,TGFb_pRec_Obs,pS2_Obs,geneA_Obs,geneB_Obs,geneD_Obs,geneF_Obs,geneH_Obs
0,0.774474984701171,0.000133829958038271,0.00821612561873449,0.792386754441973,1.5097083134461,0.745046566346677,0.629404952914875,1.36254455307904
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64687214052842
60,NaN,0.0555234633983104,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,3.88047822198499,NaN,NaN,NaN,26.429595140051,NaN
70,NaN,NaN,NaN,1.36347296852746,5.17051382078362,NaN,NaN,NaN
75,0.490538929187008,NaN,NaN,NaN,NaN,2.17307540685811,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.02767479326989
100,NaN,0.0458977144928933,NaN,NaN,NaN,NaN,NaN,NaN
150,0.465067041351738,NaN,5.90159563602408,1.30388760355621,13.0923352945363,2.16364036335943,18.1094775564573,0.742219471562549
200,NaN,0.0281805282246357,2.38028174758659,2.53550802603886,8.88635137357671,NaN,15.2120846437038,0.608693187941631
250,0.381453143214793,0.0352523028985376,1.63793485832783,NaN,NaN,0.942394887140038,NaN,0.812894016298858
300,0.316197682561408,NaN,NaN,1.84055238138005,14.0818228443433,1.39824901895283,15.4366904071953,NaN
350,NaN,0.0089477167843243,2.74665758194808,1.4787969382744,NaN,NaN,10.5378732981776,0.959169349281692
400,0.127432672976018,0.0127269564844933,NaN,NaN,13.3461628108924,1.34126910764043,NaN,NaN
450,NaN,NaN,0.755533074987831,1.94751448671059,14.9034641299147,NaN,11.3330923609244,0.957950658931635
500,0.15052604368703,0.0103529586693161,NaN,NaN,NaN,1.72163835203692,NaN,NaN
550,NaN,NaN,1.5433275851894,1.8771838806413,NaN,NaN,6.59317925035431,0.678710237755798
600,NaN,0.00816652917708572,NaN,NaN,7.05794787976373,NaN,NaN,NaN
650,0.161024418867113,NaN,0.648921213333945,NaN,NaN,1.61151679726712,4.7371088368015,0.875931045234954
700,NaN,NaN,NaN,2.2593582895127,5.77019316108107,NaN,NaN,NaN
750,NaN,0.00397795092825461,0.547555626897322,NaN,NaN,NaN,NaN,NaN
800,0.111747326970525,NaN,NaN,NaN,NaN,1.82387712300064,5.80905139444258,NaN
850,NaN,NaN,NaN,1.14952451042214,5.93640015827048,NaN,NaN,NaN
900,NaN,0.00262150294022696,NaN,NaN,NaN,NaN,NaN,NaN
950,0.0865666348078361,NaN,0.279666480835454,NaN,NaN,1.50867426316315,NaN,NaN
1000,0.0483395827734212,0.00184012127178644,0.267704905967295,1.05389664553285,4.42290602190616,1.93975697756466,2.72705174248615,NaN
1500,0.023735626193474,NaN,0.165993430127222,1.286825633507,1.43401205238801,1.1597203094283,1.63857960623479,NaN
