t,TGFb_Obs,TGFb_pRec_Obs,geneA_Obs,geneB_Obs,geneD_Obs,geneF_Obs,geneH_Obs,geneJ_Obs
0,1.68213130857593,0.000110054791787551,1.50326596616566,0.654401247249318,1.52897132410539,0.909218189870963,0.970311734471182,1.12435255012598
55,NaN,NaN,NaN,NaN,NaN,22.844525513316,NaN,1.46363731787835
65,0.911096209740993,0.0780995203367369,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,4.8440602957076,1.85244224989375,NaN,1.07349689392024,NaN
75,NaN,NaN,1.67073020064275,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,26.0421394874461,NaN,0.678585749786464
150,0.470046110000892,0.0391515675549247,1.58510584075244,13.0016515959338,2.59361874348852,16.0534819511557,1.00893812003393,1.28491554683134
200,0.420873699048413,0.0223374717059024,NaN,11.9558143731688,1.03068351390252,NaN,1.02776626881675,NaN
250,NaN,NaN,2.29343152927187,NaN,NaN,23.3016980747521,NaN,0.643094959703008
300,0.186378187079056,0.01580195602508,2.43190463141377,14.5405033241856,1.15715589370437,27.4988595295894,0.946648711983443,0.800012173564326
350,0.230743055441887,NaN,NaN,NaN,NaN,11.5818566923566,NaN,0.791102481784561
400,NaN,0.00722973848826066,2.057061458215,11.1098824344815,1.44572867520459,NaN,0.928381471963721,NaN
450,0.146084778749972,NaN,NaN,NaN,NaN,8.51401024987436,NaN,0.462648903548236
500,NaN,0.00599933661770809,NaN,10.1952364613455,1.50283008310138,NaN,NaN,NaN
550,0.109621493590407,NaN,1.70055063348017,NaN,NaN,9.84450506048772,0.919248435763625,1.00495668767304
600,NaN,0.0137998388947673,NaN,6.47371825370851,NaN,NaN,NaN,NaN
650,NaN,NaN,1.74798978651516,NaN,0.994763602611914,7.47073208745272,NaN,0.876051502621096
700,0.13481306881763,NaN,NaN,NaN,NaN,NaN,0.950217839326104,NaN
750,NaN,0.0066810928569451,NaN,8.30001722093354,NaN,7.83952215649465,NaN,0.766748197726514
800,NaN,NaN,1.49851739070099,NaN,0.890058550907557,NaN,NaN,NaN
850,0.0745965907788229,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900,NaN,0.00241700870953316,NaN,NaN,NaN,4.84014358236563,0.679359947163228,0.946289296913352
950,NaN,NaN,NaN,7.79433931815832,1.13300565816802,NaN,NaN,NaN
1000,0.0542757163422179,0.00188909090921965,3.64520020103835,3.21915181716881,2.7047502261261,3.45220917172873,0.831619362695279,1.13603392099862
1500,0.024246877851033,NaN,0.779694695843547,4.69121202212339,2.02407489084272,1.27098079350159,1.15753005599772,NaN
