t,TGFb_Obs,TGFb_pRec_Obs,ppS2_Obs,geneA_Obs,geneB_Obs,geneD_Obs,geneF_Obs,geneH_Obs
0,0.970652918888399,6.7983038311536e-05,0.00815126274126949,1.75715512720477,1.03798234670506,0.597835593666669,0.639683384331278,1.13771034861345
55,NaN,NaN,3.78838604957581,NaN,5.77680802862051,NaN,23.2065316111436,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.99576988340963
65,0.840899675570842,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.0390042907950738,NaN,1.47545689576128,NaN,0.8045493807633,NaN,NaN
100,NaN,NaN,5.33849517546976,NaN,4.46814213176911,NaN,32.6920310600009,2.44541695103508
150,0.737437471993275,0.0516511792971074,NaN,3.15003125110668,8.63163957716529,1.11848010135072,36.7090008978884,NaN
200,0.468859210490125,0.0198780822581804,1.92204842209154,1.80257253288735,NaN,1.11014987154823,20.2451927543371,3.29171710787912
250,NaN,NaN,1.74520391213962,NaN,8.36562630616666,NaN,NaN,2.33698317204509
300,0.288483872319418,0.0284785387192024,1.08881253223199,2.75657394477996,7.88542113910253,1.53226182767774,24.8235164109813,NaN
350,0.54839862336029,NaN,NaN,2.10438919820227,6.86799588602181,1.18869329915115,13.8258768449299,3.04302144165111
400,NaN,0.0137935743522422,0.963333021244281,NaN,NaN,NaN,NaN,2.83027461295892
450,0.48054194775617,NaN,1.25540812857307,1.66509221238943,12.4494567165515,1.9275406433737,26.5247737395108,NaN
500,NaN,0.00837281435243703,NaN,NaN,NaN,NaN,23.1083384841416,2.55546514564911
550,0.155001962218092,NaN,1.19940063557989,1.64901181237066,8.07603786135516,1.5271109345197,NaN,NaN
600,NaN,0.0108151200492114,NaN,NaN,NaN,NaN,9.53525677493225,2.33909050408607
650,NaN,NaN,NaN,NaN,6.47062805793431,NaN,NaN,NaN
700,0.21593331557939,NaN,0.424577770033799,2.46059187794768,NaN,2.01400409324391,NaN,3.3284232043394
750,NaN,0.00285244055770343,NaN,NaN,8.0908891886454,NaN,30.717372109386,NaN
800,NaN,NaN,0.444686960454592,NaN,NaN,NaN,NaN,NaN
850,0.0629136316416175,NaN,NaN,1.546240991884,NaN,0.855357123774502,11.72814178621,3.55111152364944
900,NaN,0.0024262206914233,NaN,NaN,4.56188480747327,NaN,NaN,NaN
950,NaN,NaN,0.285025564893204,NaN,NaN,NaN,NaN,NaN
1000,0.054478640806286,0.00162972340929968,0.598686618215479,1.50224819517112,2.8997454245822,1.03120409574518,12.6818719941476,1.70412323649881
1500,0.0147640773490151,0.00142449922083645,0.218726018858663,2.09588167635685,2.34864589569735,2.44299707342214,NaN,2.08739812995177
