t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,9.88840871048161,18.3806610165159,11.3765555162132
2,NaN,13.7507578831405,NaN
3.5,7.87004337333697,NaN,18.9424777412721
4.5,NaN,12.5523927104554,NaN
7,9.71520261418875,18.9083365529426,NaN
7.5,NaN,NaN,14.43866096282
9.5,NaN,16.0962271735727,NaN
10,7.69474603455034,14.6409725558342,12.7959429472546
15,7.57360937934205,16.5066039523439,15.8718247714228
20,6.87805428703764,21.8972252875827,16.5096376943991
25,5.37536490156956,21.9969655558271,NaN
30,3.72180341957655,19.0394221855501,14.6054609222518
35,5.07875105987795,20.9193261624015,15.0048840771436
40,5.96249442862072,NaN,NaN
45,NaN,NaN,17.8247821166808
50,4.29639301462866,NaN,NaN
60,6.7082703276603,NaN,NaN
70,5.26105030362034,NaN,NaN
