t,STAT5B_Obs,pBpB_Obs,Compound_1_Obs
0,37.1119028994539,1.98748082740098e-08,28.1030238924886
10,NaN,7.70830861735697e-07,NaN
15,5.83352478387424,NaN,NaN
25,NaN,3.97567866721267e-06,NaN
30,4.94893177871284,NaN,2519.19739345796
40,NaN,1.81106936392719e-05,NaN
45,1.50670007866058,NaN,NaN
55,NaN,1.53459388407679e-07,260.416253124214
60,0.891211109142188,NaN,NaN
70,NaN,1.94926111470188e-08,NaN
80,1.04376879239896,NaN,NaN
85,NaN,NaN,4791.79756383975
90,NaN,2.01236794663544e-07,NaN
100,143.34693317985,3.10900476238858e-06,571.928863561615
150,20.4987793510096,NaN,114.164114966277
200,30.9779333807489,NaN,1188.20513535221
250,52.6285701179255,NaN,125.700394138068
300,20.99111744602,NaN,146.46898366107
350,2.69354538159629,NaN,25.0639179602003
400,9.12827854033759,NaN,NaN
450,NaN,NaN,524.602735709973
550,NaN,NaN,166.733953299974
650,NaN,NaN,1095.36060082102
