t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,1.61180328949063,0.801825254622032,1.15655282589984,6.67278349585482e-05
8.5,NaN,NaN,0.0223978681691445,NaN
10,0.0276052931731297,NaN,NaN,NaN
15,NaN,NaN,0.0261564036178421,NaN
20,NaN,NaN,NaN,0.0109936880046356
25,0.0212220260943359,NaN,0.0185315389175187,NaN
35,0.0526036121962259,1.71260333132439,0.0133466292071063,NaN
45,NaN,NaN,NaN,0.00947837945894629
50,0.017797840505169,NaN,0.0145985813650482,NaN
60,NaN,NaN,0.0218617561679189,NaN
65,0.0222848760396429,NaN,NaN,0.0076875379333233
70,NaN,0.984227877084174,NaN,NaN
75,NaN,NaN,0.0136782046707666,NaN
85,0.0175331938298092,NaN,NaN,NaN
90,NaN,NaN,0.00521197326239416,0.00525511852070816
100,0.00736769126469477,0.382011265864435,0.0115334185350812,0.00801950621235116
150,0.00630425621632622,0.607141687498132,0.00708302138605545,0.00442015521462227
200,NaN,0.318919295793835,NaN,0.00158820914287924
250,NaN,0.274430216260318,NaN,0.00250158343681947
300,NaN,0.134238826722696,NaN,NaN
350,NaN,NaN,NaN,0.00101529536931348
400,NaN,0.142587491176075,NaN,0.00125648541704664
450,NaN,0.112197845166247,NaN,NaN
600,NaN,0.0883490694592682,NaN,NaN
