t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.855891937365913,1.13403716063088,1.0042403406155,5.96786961433863e-05
20,0.533276922058817,1.59062690386068,0.654890903560351,NaN
30,NaN,NaN,NaN,0.00267373576776271
40,0.530791653628124,0.769025273003971,0.632721826144252,NaN
60,0.457472398289572,NaN,0.28162834154836,NaN
65,NaN,1.09086443589102,NaN,0.00236249615400003
80,NaN,NaN,0.448968138381633,NaN
85,0.576551455342501,0.749644939466408,NaN,NaN
100,0.726604318217853,1.16579796333986,0.760279645217961,0.00353913269643061
150,0.685216197334716,0.683964166119766,0.581637025542505,0.00141655338643813
200,0.597085645941664,0.610376025589999,0.354120567405418,0.00110103777951713
250,0.524421004950667,0.820166532103157,0.590817042583646,0.000568035405582705
300,0.784917128128718,0.755446901229847,1.04409992514668,NaN
350,0.663159301447223,NaN,0.982899190868676,0.000160872206861569
400,0.811187081694313,0.509478942762299,0.687669252590277,0.000143593905061058
450,0.556069118725697,NaN,NaN,NaN
500,NaN,NaN,1.0302964474646,0.000143541925542632
600,NaN,NaN,NaN,4.42219335630833e-05
