t,pMEK_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000376231108618178,2.48639454692027,2.65474974839381
0.35,NaN,NaN,1.71155893314762
0.7,NaN,NaN,2.07401293445692
1,NaN,NaN,1.1184652535449
1.5,NaN,NaN,1.67295924522625
2,0.000341133402354884,2.20677354303071,1.52721876436554
2.5,NaN,NaN,1.80994035090612
3,NaN,NaN,1.90352436897734
4,NaN,2.30410316841641,2.45519769529843
4.5,0.000178498539456696,NaN,NaN
5,NaN,NaN,1.90872959062298
6,NaN,NaN,1.88473226279419
6.5,NaN,1.67229024970792,NaN
7,0.000225804373263267,NaN,NaN
9,NaN,2.10038034152548,NaN
9.5,0.000154505077638222,NaN,NaN
10,0.000144799940712461,1.48104198171756,NaN
15,0.000157723324927889,2.07108520555618,NaN
20,0.000170888527950033,2.36995180567466,NaN
25,0.000104330774624042,1.81063622469976,NaN
