t,pMEK_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00017244473255533,1.9883907960202,2.1558616788908
0.2,NaN,2.27084989340934,NaN
0.4,NaN,1.67271924368459,NaN
0.6,NaN,2.09245410637654,NaN
0.8,NaN,1.76284612670722,NaN
1,NaN,1.22629079779511,1.93635122490276
1.5,NaN,2.30078279424131,NaN
2,NaN,2.63897840019837,1.57296714803014
2.5,NaN,1.64519698394338,NaN
3,NaN,1.49127264566925,1.96157111876593
4,0.00197122380146397,NaN,NaN
4.5,NaN,NaN,1.73154299589818
5.5,NaN,NaN,2.06642491674017
7,NaN,NaN,2.31690594346153
8,0.00196750980233392,NaN,NaN
9,NaN,NaN,1.68137221191352
10,NaN,NaN,2.26567824998188
15,0.00244576203462901,NaN,2.76961918756855
20,0.00302760112734734,NaN,NaN
