t,pApB_Obs,nucpBpB_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,-1.58664036789919,1.26329483787208,191.491302032877,137.43603453695,122.159071614634,-26.2196525581013
15,25.9989955103696,NaN,NaN,NaN,NaN,258.132039753008
20,NaN,40.9211442743524,NaN,210.405751860081,NaN,NaN
25,NaN,NaN,217.037526629766,NaN,NaN,248.22643632746
30,24.8545302184007,NaN,NaN,NaN,113.03132642495,NaN
35,NaN,39.357891227363,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,218.890123897634,NaN,238.445278680022
45,19.5594390332867,NaN,NaN,NaN,NaN,NaN
55,NaN,38.1706029166611,240.197205762566,NaN,98.1445886670568,270.774001199124
60,23.3251340512516,NaN,NaN,228.068057805061,NaN,NaN
75,NaN,36.471722729008,NaN,NaN,NaN,228.401901145145
80,16.4447309753653,NaN,NaN,201.847745096833,NaN,NaN
85,NaN,NaN,249.171128432485,NaN,148.678652117247,NaN
90,NaN,NaN,NaN,NaN,NaN,217.168369288945
95,14.5567265329501,NaN,NaN,NaN,NaN,NaN
100,10.2915407172654,29.2493580217888,233.993780016527,241.637202948874,108.763082306931,212.208321168701
150,7.89726911562113,17.472187749794,212.107308052502,240.27084761666,159.807260285511,205.593895961864
200,6.18308302513014,11.6490036610745,248.882898955727,215.451215424185,190.613374992239,164.706533931043
250,6.62950793881972,15.0260065434717,226.646987573588,199.316588017694,171.829015857189,166.932172919247
300,1.93433005013702,9.60450559058202,235.053502827011,238.851934365903,174.909722158057,97.6941173673281
350,NaN,NaN,225.55888312549,213.133842970278,197.342104526165,122.574377365191
400,NaN,0.936598823883485,NaN,244.199631970943,NaN,NaN
450,NaN,NaN,209.00426535704,NaN,210.237722586111,NaN
500,NaN,NaN,NaN,195.932131449222,NaN,NaN
550,NaN,NaN,221.742667233605,218.629160385027,194.927699899501,NaN
650,NaN,NaN,237.524124810885,201.584406317581,215.981176576196,NaN
