t,bcar_Obs,b10_Obs
0,6.23580146207118,0.0258185150393781
20,NaN,0.740278848983957
25,5.34740175972073,NaN
40,NaN,1.42061459605182
45,4.76904280607611,NaN
60,NaN,1.92077392379665
70,4.0328776110108,NaN
85,NaN,2.29817556463868
95,3.44041176398805,NaN
100,NaN,2.57230332634415
150,2.36033021543458,3.15846027909353
200,1.77972461344024,3.33910115344908
250,1.36682321486877,3.46501326674367
300,0.885677594528728,3.38340638528319
350,0.672249092433625,3.27842702536192
450,0.273732063327335,2.81586919379345
