t,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,-0.545635339237376,2.05123064168949,-1.7321869041182,3.16138641430841
40,NaN,NaN,NaN,94.9338853661235
45,67.5820989807546,NaN,NaN,NaN
50,NaN,NaN,63.8578298863382,NaN
70,NaN,2.87007100409148,NaN,NaN
75,NaN,NaN,NaN,80.8827069634807
85,52.9939230505753,NaN,NaN,NaN
100,NaN,NaN,44.1439727154485,70.1602055269797
150,36.2245932439433,2.76338520840614,33.6955164561936,47.2277140944818
200,25.9699145609383,2.50314573095469,23.3149148091137,35.4726529812485
250,19.9373488826691,NaN,NaN,24.8263431713028
300,12.6330039563886,2.11102035467446,12.8960399282108,17.7860539928097
350,NaN,NaN,9.66781315836217,19.4498494453575
400,8.88456527414071,2.03171204243746,NaN,NaN
450,6.07448223794941,NaN,4.50306902833879,6.879524136979
500,NaN,1.86483736634294,NaN,NaN
550,5.36705302550555,NaN,2.297989152813,3.57423580641802
600,NaN,1.51430661487334,NaN,NaN
650,NaN,NaN,NaN,6.97795063177499
700,1.90230127353618,NaN,0.267977557860222,NaN
750,NaN,1.68522510312858,NaN,2.03703052995927
800,NaN,NaN,2.37693565033412,NaN
850,2.08763774712627,NaN,NaN,NaN
900,NaN,NaN,NaN,3.4242933669633
950,NaN,1.73010754175794,NaN,NaN
1000,NaN,2.17518003645606,-0.377823665891264,NaN
1500,NaN,2.33049327124043,NaN,NaN
