t,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.0110852599038911,0.0164357054999197
15,0.0124962298434993,0.0119084193129429
25,NaN,0.00935772599505132
30,0.02087285705155,NaN
40,NaN,0.00986886207949374
45,0.015383065726453,NaN
55,NaN,0.0139515985536068
65,0.0118312012319962,NaN
70,NaN,0.0195460747167438
80,0.0114902777419815,NaN
90,NaN,0.0148589543936456
100,0.014457782780664,0.0223915023447323
150,0.0120764050717316,0.00605763488432014
200,0.0147693863487447,0.0124486416845854
250,0.0128473959890374,0.0079186643154197
