t,EpoRJAK2_Obs,EpoRpJAK2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,2.51505747962607,-0.0395839676610586,0.0194546079838113,-0.00216895868236725
20,NaN,NaN,NaN,0.00944919253507182
25,NaN,NaN,0.10611312723314,NaN
30,0.46378022328711,NaN,NaN,NaN
35,NaN,0.0971916229721336,NaN,NaN
40,NaN,NaN,NaN,0.0686213945378108
55,NaN,NaN,0.0868595361057834,NaN
65,1.55290722564257,NaN,NaN,0.104278563859801
75,NaN,0.126967661723152,NaN,NaN
85,NaN,NaN,0.0775447640823975,NaN
90,NaN,NaN,NaN,0.0930202182305211
100,1.53178871209323,0.132879222653364,0.0477849795007328,0.0877677406030865
150,1.10206984486599,0.120563292323172,0.0317261024759505,0.0353317705835655
200,0.674392385856968,0.105222570561742,0.0768710552548258,0.0327583333391899
250,1.01105130072764,NaN,NaN,0.0600640020890471
300,1.43744366078491,0.133597574777924,0.0478328797547656,0.0466384908396125
350,1.62919857773532,NaN,NaN,NaN
450,1.10463827852255,NaN,NaN,NaN
