t,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,0.0290134919102573,-0.00319373893938138
10,0.0438772894560139,-0.00459457587712506
20,NaN,0.0288894744902911
25,0.128159503827632,NaN
35,NaN,0.025102041414155
40,0.103866182600842,NaN
50,NaN,0.0845920412834108
55,0.0908140168424809,NaN
60,NaN,0.0885155135415487
70,0.0519014369642934,NaN
80,NaN,0.0943388893557138
90,0.0252860081011491,NaN
100,0.0329083323996689,0.0851999957906442
150,0.0272212392713287,0.0212104527531185
200,0.0499277670598286,0.0517991285211837
