t,EpoRpJAK2_Obs,SOCS3nRNA1_Obs
0,0.017473994090722,0.0422694830801689
9.5,NaN,0.0300810170752474
10,0.128893188748591,NaN
20,0.0792137038952072,0.0782658922336679
30,NaN,0.130571876278544
35,0.0852014465325633,NaN
45,0.116547557730647,0.1038397210215
55,NaN,0.110162231369376
60,0.0888645728715784,NaN
75,0.0980318329620558,0.0836121499573054
90,0.128380425141135,NaN
95,NaN,0.0405059552407437
100,0.0948706018064917,0.0726347631792312
150,0.136806838870729,0.0502115473088401
200,0.168564509841318,NaN
