t,epo_level,EpoRpJAK2_Obs
7,2.5e-09,0.00581646233982939
7,2.5e-09,0.00817662236565974
7,2.5e-09,0.0131578110405529
7,7.905e-09,-0.00842973404562717
7,1.25e-08,-0.0294951123549536
7,1.25e-08,-0.005424090185124
7,1.25e-08,0.0342515991974044
7,1.75e-08,0.00173676138167405
7,1.75e-08,0.00959548302079058
7,1.75e-08,0.0317128303720621
7,2.5e-08,0.0258711017778776
7,2.5e-08,0.0266082257320543
7,2.5e-08,0.0678967655004834
7,3.95e-08,0.0476077998605356
7,7.9e-08,0.053519545149742
7,1.25e-07,0.0437694807800343
7,1.7675e-07,0.0954883765689534
7,2.5e-07,0.103031509498799
7,2.5e-07,0.121205738171125
7,2.5e-07,0.121754592311265
7,7.905e-07,0.186102226520952
7,7.905e-07,0.20080380717014
7,7.905e-07,0.209017751032208
7,2.5e-06,0.252802026213829
7,2.5e-06,0.252937983584746
7,2.5e-06,0.281770771906194
