t,epo_level,SOCS3nRNA1_Obs
34,2.5e-09,-0.00526686537399204
34,2.5e-09,0.00456796137823797
34,2.5e-09,0.0143221421863434
34,2.5e-08,0.0531616792695643
34,2.5e-08,0.0795298724956135
34,2.5e-08,0.0963091510074402
34,1.25e-07,0.100198820746941
34,1.25e-07,0.107585025624241
34,1.25e-07,0.11161142456233
34,2.5e-07,0.101706736991253
34,2.5e-07,0.129624095886005
34,2.5e-07,0.141150947433118
34,1.25e-06,0.101970514842849
34,1.25e-06,0.128210341348386
34,1.25e-06,0.131905260959742
34,2.5e-06,0.0969686300695509
34,2.5e-06,0.120825993204666
34,2.5e-06,0.123120824338407
