t,S4_Obs,ppS2_S4_S4_Obs
0,70.3984668185061,0.49099797050851
40,31.6643653546893,NaN
55,NaN,22.4461032110217
80,20.6521095819262,NaN
100,25.7211496004157,21.0455017688765
150,24.0456869239259,20.2425381452788
200,32.5894042376626,NaN
250,33.3435600761158,17.6878911242282
300,42.6144078188895,16.1900876122424
400,42.0491727678681,12.2686219053061
450,53.5909660962909,10.738869525632
550,56.2547947814178,8.76909500248739
650,63.0291691377433,NaN
700,NaN,5.17995234869954
750,58.9429607169323,NaN
850,NaN,3.53110739505167
900,60.6380527557969,NaN
1000,NaN,1.40451021533922
