t,S2_Obs,S4_Obs,pS2_Obs,geneD_Obs,geneK_Obs,geneL_Obs,Compound_1_Obs
0,140.149870512665,65.1169043991926,0.164481040969093,0.84357942236013,1.00974157486185,0.998401332272428,1.00230678726496
40,NaN,27.3516431386454,NaN,NaN,NaN,NaN,NaN
45,47.5846678910321,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,7.40001966990601,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,1.15238539252587,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,0.766613580273039
75,NaN,NaN,NaN,NaN,0.769442189556596,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.690955394559962,NaN
85,NaN,25.181609720313,NaN,NaN,NaN,NaN,NaN
95,43.4884359033538,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,6.78942079372254,NaN,NaN,NaN,NaN
150,62.8040129348338,28.1660684325402,NaN,1.83951167428493,0.579785689339237,0.554073962763287,0.586208715478093
200,76.5531828183,31.6913692885162,4.32003328857241,2.15057476761678,NaN,NaN,0.475172968599115
250,89.9796981573716,33.5325108597638,3.25665264893267,NaN,0.417280703725684,0.513901709705776,NaN
300,99.9535000556028,37.0237014303947,NaN,3.11353468390415,0.326868698307937,NaN,0.354286627423846
350,NaN,44.4766663384597,2.24876185100459,2.78198150369719,NaN,0.571870193824748,NaN
400,120.187464830613,40.5944734083513,1.78957241498712,NaN,0.224442246330842,NaN,0.224532430302839
450,NaN,NaN,NaN,3.23639356353992,NaN,0.77151449139908,NaN
500,132.090251734924,51.0256002689604,1.18164288056836,NaN,0.27247224909715,NaN,0.220164208461789
550,NaN,NaN,NaN,3.50752754752478,NaN,0.728141660916015,NaN
600,123.344095571479,57.8560238007846,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,0.550161678749762,NaN,0.212332418150078,0.802526261760762,0.194175056247367
700,132.746282484582,62.6731111049739,NaN,3.74056026299733,NaN,NaN,NaN
800,NaN,NaN,0.321710924995175,3.5035731401651,0.158757211335859,0.86383210114953,0.212792527546753
850,144.717323510135,66.1113694860251,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,0.102641995267157,NaN,NaN,NaN,0.239676130375493
1000,129.281727894429,NaN,0.158091932978408,3.03153896171004,0.27667117303319,0.977665442694182,0.250288686504058
1500,NaN,NaN,NaN,2.41019090654309,0.603989308492912,1.04680674312059,0.580992453619284
