t,S2_Obs,S4_Obs,pS2_Obs,ppS2_S4_S4_Obs,geneD_Obs,geneL_Obs,Compound_1_Obs
0,149.362749706951,69.3761191421497,0.14027401873118,-0.0415856001929179,1.05077650079862,1.00655724723987,1.02201023603485
50,NaN,48.4732468719549,NaN,NaN,NaN,NaN,NaN
55,56.2087135336924,NaN,NaN,9.49169125199433,1.11365089574948,NaN,NaN
65,NaN,NaN,7.21956455759202,NaN,NaN,NaN,0.76551596768626
70,NaN,NaN,NaN,NaN,NaN,0.495549071331149,NaN
100,56.1359180755018,48.8567067607663,NaN,9.10414763341617,1.22868804971212,NaN,NaN
150,60.0563664306522,44.3188885865772,5.27401997722229,8.25716627384527,1.32138244798482,0.231490146763601,0.571222323136937
200,NaN,47.1629680058639,4.62489880197745,NaN,NaN,0.173226714346273,0.408463445254523
250,102.858733300283,NaN,3.45259623661304,6.22018268259113,1.4276181562866,NaN,NaN
300,112.024155412111,58.3029496409037,NaN,5.11997825071894,1.7466909151831,0.118152402545349,0.312642038617336
350,105.526427759571,57.1715535886452,2.34221185210966,4.8337440559871,1.60469800038926,0.161848041336894,0.262368192947583
450,132.402964348227,61.5353161869856,1.5983242939207,2.95509032397057,1.61476406305875,0.243502597630882,0.181743190364612
500,NaN,69.6070626091939,NaN,NaN,NaN,NaN,NaN
550,127.14709782127,NaN,0.995837749930677,2.99589334338178,1.82005024238034,0.269186380500051,0.147243059641364
600,NaN,63.0007565355257,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,0.578043291439736,NaN,1.94536625819382,NaN,NaN
700,126.060315351527,NaN,NaN,1.43183814498729,NaN,0.373276333699538,0.169916488190023
750,NaN,66.0119540554538,NaN,NaN,NaN,NaN,NaN
800,137.613359308142,NaN,0.511383060984402,NaN,2.16125568352322,NaN,NaN
850,NaN,64.5975319255758,NaN,0.848420502694383,NaN,0.594292927666162,0.171130876968483
950,NaN,NaN,0.187437001375609,NaN,2.08948265891112,NaN,NaN
1000,137.482509842877,64.987985814784,0.14504380073877,0.918502938418763,2.27534490921463,0.719800789300087,0.244042857098524
1500,NaN,NaN,0.0457981501058167,NaN,NaN,0.894116534927513,0.561399281227029
