t,S2_Obs,S4_Obs,ppS2_ppS2_ppS2_Obs,pS2_Obs,geneD_Obs,geneL_Obs,Compound_1_Obs
0,135.626461137453,71.1582375038649,0.0513285990824888,-0.0507425507790219,0.954983607291004,0.907061496970995,0.956643082799199
10,149.288303787216,72.4149477635597,-0.044659929595591,0.0494509585063778,0.963720660287812,0.990081200039448,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,0.960157841371587
20,129.05175495063,NaN,NaN,0.0283242077154412,NaN,NaN,NaN
25,NaN,69.989968312629,0.0177287683448842,NaN,1.04332533480179,0.93854550465008,1.09076460076962
30,NaN,NaN,NaN,0.0471061428473319,NaN,NaN,NaN
35,150.533396228833,NaN,-0.0848299972643653,NaN,NaN,1.03936883491118,NaN
40,NaN,68.6709193155863,NaN,NaN,1.12626463476659,NaN,1.00829143951206
45,141.873729124609,NaN,NaN,-0.0136035375330358,NaN,NaN,NaN
50,NaN,NaN,0.0206613377371193,NaN,NaN,0.982750160184106,NaN
55,NaN,75.67767032608,NaN,NaN,0.957901675025022,NaN,1.0702286804412
60,NaN,NaN,NaN,0.00841920091487842,NaN,NaN,NaN
65,146.477403665645,NaN,NaN,NaN,NaN,1.01411281337979,NaN
70,NaN,NaN,0.0326662218173757,NaN,0.942089550682372,NaN,NaN
75,NaN,62.8456213969344,NaN,0.0419275027257536,NaN,NaN,1.00412917858761
80,144.602074989603,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.985101265217972,NaN
90,NaN,NaN,0.0318940024187483,NaN,0.971785562838985,NaN,NaN
95,NaN,68.500012057807,NaN,NaN,NaN,NaN,0.986381988721846
